Gene,IG Score Before Training,IG Score After Training,Difference
HAVCR2,0.2721694,0.27220318,3.376603e-05
ERH,0.2291617,0.22919539,3.3691525e-05
IFIT3,0.25550663,0.2555401,3.3468008e-05
PKDCC,0.24034782,0.24038121,3.3393502e-05
CD40,0.27088413,0.2709175,3.33786e-05
FNBP1,0.22193311,0.22196613,3.3020973e-05
WWOX,0.23772523,0.2377582,3.297627e-05
HIST1H2AE,0.26918256,0.26921552,3.296137e-05
XAF1,0.27481344,0.27484637,3.2931566e-05
KIAA0930,0.21924026,0.21927314,3.287196e-05
HES4,0.27840945,0.27844223,3.2782555e-05
RAD54L,0.26414815,0.26418084,3.2693148e-05
CD151,0.17629263,0.1763253,3.2678246e-05
TMEM173,0.26025194,0.26028457,3.2633543e-05
SSR4,0.2150308,0.21506344,3.2633543e-05
RASSF4,0.26878792,0.2688204,3.248453e-05
THBS2,0.2830238,0.28305608,3.2275915e-05
PRSS23,0.83327013,0.8333022,3.20673e-05
OPTN,0.18853569,0.18856758,3.1888485e-05
WDR90,0.25427258,0.2543044,3.182888e-05
CNOT9,0.23401637,0.23404789,3.1515956e-05
C2,0.25347608,0.25350744,3.1352043e-05
TNFSF13,0.26017806,0.26020938,3.132224e-05
FMNL1,0.2590369,0.2590682,3.129244e-05
ANTXR2,0.28433535,0.2843665,3.1143427e-05
MPEG1,0.2712735,0.27130464,3.1143427e-05
TTYH3,0.2576899,0.25772104,3.1143427e-05
RBM8A,0.27086747,0.27089858,3.1113625e-05
FUS,0.23477207,0.23480317,3.1098723e-05
E2F4,0.21322423,0.21325529,3.105402e-05
HSPG2,0.31222355,0.3122546,3.105402e-05
PDLIM7,0.2484384,0.24846943,3.1024218e-05
GDF15,0.23993468,0.23996565,3.0964613e-05
LFNG,0.2718367,0.27186766,3.0964613e-05
ASPN,0.2711421,0.27117303,3.093481e-05
SRM,0.2172161,0.21724668,3.0577183e-05
TAP2,0.18809241,0.1881229,3.0487776e-05
LGALS9,0.26115242,0.2611829,3.0487776e-05
CDCA4,0.26922596,0.2692564,3.0457973e-05
TMEM8A,0.2579696,0.25800005,3.0457973e-05
VCAM1,0.2663468,0.26637712,3.0308962e-05
UBE2L6,0.23610263,0.2361329,3.027916e-05
RRP7A,0.24373,0.24376021,3.0219555e-05
XBP1,0.56940067,0.5694308,3.015995e-05
HSPA1A,0.28830576,0.2883358,3.0040741e-05
SERPINA1,0.29883274,0.2988627,2.9951334e-05
TECR,0.26830304,0.26833275,2.9712915e-05
FILIP1L,0.27867016,0.27869985,2.9683113e-05
MGAT1,0.26274484,0.2627745,2.965331e-05
SUZ12,0.23820779,0.23823735,2.9563904e-05
CDK12,0.2542901,0.25431934,2.9236078e-05
AURKB,0.266693,0.26672223,2.9236078e-05
SCPEP1,0.34789595,0.34792495,2.899766e-05
SLC25A28,0.24717362,0.24720253,2.8908253e-05
VASH1,0.23977147,0.2398002,2.8729439e-05
FGL2,0.8312284,0.8312571,2.8729439e-05
DHRS1,0.2589556,0.25898427,2.8669834e-05
ACTR1A,0.23433636,0.234365,2.8640032e-05
SDC4,0.1635799,0.16360849,2.8595328e-05
PDGFRB,0.2799832,0.2800117,2.8520823e-05
EHD4,0.26723313,0.26726156,2.8431416e-05
CCDC12,0.23593003,0.2359584,2.8371811e-05
IFI27,0.12729077,0.12731896,2.8192997e-05
WNK1,0.23799095,0.23801886,2.7909875e-05
RAP2B,0.26374826,0.26377615,2.7894974e-05
FAP,0.27053708,0.2705649,2.783537e-05
SLC15A3,0.2689353,0.268963,2.771616e-05
PSMB3,0.24574293,0.2457706,2.7671456e-05
KRTCAP3,0.22909504,0.22912262,2.758205e-05
PGAM5,0.23572919,0.23575649,2.7298927e-05
APOL2,0.20007955,0.20010667,2.7120113e-05
SERPINF1,0.28314564,0.28317258,2.69413e-05
DDX42,0.23723127,0.2372582,2.6926398e-05
TMEM176B,0.097539596,0.09756647,2.6874244e-05
THEMIS2,0.29010922,0.29013607,2.6851892e-05
GPR137B,0.2755689,0.2755957,2.6792288e-05
PARP14,0.35436216,0.35438886,2.670288e-05
TREM2,0.2707917,0.2708184,2.670288e-05
CRELD2,0.23213892,0.23216552,2.6598573e-05
EXOC7,0.20741186,0.20743844,2.6583672e-05
