Gene,IG Score Before Training,IG Score After Training,change
VWA1,0.2689414322376251,0.0002390954759903,0.2687023367616348
SSU72,0.2689414322376251,0.0002381667291047,0.2687032655085204
CDK11A,0.2689414322376251,0.0002412521134829,0.2687001801241422
GNB1,0.2689414322376251,2.1362993720686063e-05,0.26892006924390444
CFAP74,0.2689414322376251,0.000242935042479,0.2686984971951461
TTLL10,0.2689414322376251,0.0002415061899228,0.2686999260477023
MMEL1,0.2689414322376251,0.0002426819992251,0.2686987502384
MORN1,0.2689414322376251,0.2689414322376251,0.0
TTC34,0.2689414322376251,0.2689414322376251,0.0
PLCH2,0.2689414322376251,0.0002401329111307,0.26870129932649445
TP73,0.2689414322376251,0.0002395148476352,0.26870191738998994
MEGF6,0.2689414322376251,0.0002421104582026,0.2686993217794225
AJAP1,0.2689414322376251,0.0002406024868832,0.26870082975074194
NPHP4,0.2689414322376251,0.0002408182190265,0.2687006140185986
KCNAB2,0.2689414322376251,0.0002433864428894,0.2686980457947357
CHD5,0.2689414322376251,0.0002427342988085,0.2686986979388166
NOL9,0.2689414322376251,0.0002427905565127,0.2686986416811124
DNAJC11,0.2689414322376251,0.0002393116883467,0.26870212054927844
SLC2A5,0.2689414322376251,0.0002414672926533,0.26869996494497184
MIR34AHG,0.2689414322376251,0.2689414322376251,0.0
SPSB1,0.2689414322376251,0.0002334572782274,0.26870797495939774
KIF1B,0.2689414322376251,0.0002985083556268,0.26864292388199834
SLC25A33,0.2689414322376251,0.0002420075470581,0.268699424690567
PIK3CD,0.2689414322376251,0.0002458228264003,0.26869560941122483
NMNAT1,0.2689414322376251,0.0002425170823698,0.26869891515525535
UBE4B,0.2689414322376251,0.0002306371025042,0.2687107951351209
CASZ1,0.2689414322376251,0.0002348752313992,0.2687065570062259
MTOR,0.2689414322376251,0.0002878386876545,0.26865359354997065
FBXO6,0.2689414322376251,0.0002424176782369,0.2686990145593882
VPS13D,0.2689414322376251,0.0002400708763161,0.268701361361309
TNFRSF1B,0.2689414322376251,0.0002448798622936,0.2686965523753315
MTHFR,0.2689414322376251,0.0002405759005341,0.268700856337091
PRAMEF19,0.2689414322376251,0.00024295100593,0.2686984812316951
LRRC38,0.2689414322376251,0.0002426456921966,0.2686987865454285
PRDM2,0.2689414322376251,0.0002428704319754,0.2686985618056497
TMEM51,0.2689414322376251,0.0003027054772246,0.2686387267604005
FHAD1,0.2689414322376251,0.0002429273736197,0.2686985048640054
CELA2A,0.2689414322376251,0.0002428845327813,0.2686985477048438
SPEN,0.2689414322376251,0.0002848021104,0.2686566301272251
FBXO42,0.2689414322376251,0.0002393194299656,0.26870211280765954
SZRD1,0.2689414322376251,0.0002352914743823,0.26870614076324284
MST1P2,0.2689414322376251,0.2689414322376251,0.0
RCC2,0.2689414322376251,0.0002326988178538,0.2687087334197713
ARHGEF10L,0.2689414322376251,0.0002385303378105,0.2687029018998146
SDHB,0.2689414322376251,0.0002388805878581,0.26870255164976703
KLHDC7A,0.2689414322376251,0.0002408790896879,0.2687005531479372
PAX7,0.2689414322376251,0.0002416658098809,0.26869976642774424
IGSF21,0.2689414322376251,0.0002413238835288,0.2687001083540963
UBR4,0.2689414322376251,0.0002414679765934,0.2686999642610317
AKR7L,0.2689414322376251,0.2689414322376251,0.0
CAPZB,0.2689414322376251,0.0002311440621269,0.26871028817549825
TMCO4,0.2689414322376251,0.0002448091108817,0.2686966231267434
UBXN10-AS1,0.2689414322376251,0.2689414322376251,0.0
VWA5B1,0.2689414322376251,0.0002426031278446,0.26869882910978055
KIF17,0.2689414322376251,0.0002433896734146,0.26869804256421054
HSPG2,0.2689414322376251,0.0002334924356546,0.2687079398019705
RAP1GAP,0.2689414322376251,0.0002411391906207,0.26870029304700443
ECE1,0.2689414322376251,1.6793575923657045e-05,0.26892463866170147
USP48,0.2689414322376251,0.0002306522655999,0.26871077997202525
EPHB2,0.2689414322376251,0.0002404061960987,0.2687010260415264
HNRNPR,0.2689414322376251,0.0002343459927942,0.2687070862448309
FUCA1,0.2689414322376251,0.0002437057119095,0.2686977265257156
ASAP3,0.2689414322376251,0.0002415812778053,0.2686998509598198
RCAN3,0.2689414322376251,0.0002401768724666,0.26870125536515854
CLIC4,0.2689414322376251,0.0002341612707823,0.2687072709668428
STPG1,0.2689414322376251,0.0002419726952211,0.26869945954240404
RUNX3,0.2689414322376251,0.0002423767582513,0.26869905547937384
RSRP1,0.2689414322376251,0.0004571465833578,0.2684842856542673
LDLRAP1,0.2689414322376251,0.0002396642521489,0.26870176798547624
LOC646471,0.2689414322376251,0.2689414322376251,0.0
MTFR1L,0.2689414322376251,0.0002374844334553,0.26870394780416984
MAN1C1,0.2689414322376251,0.0002424590493319,0.2686989731882932
RHD,0.2689414322376251,0.000242837544647,0.26869859469297813
AIM1L,0.2689414322376251,0.2689414322376251,0.0
ARID1A,0.2689414322376251,0.0002349655114812,0.2687064667261439
TRNP1,0.2689414322376251,0.0002411100140307,0.2687003222235944
SLC9A1,0.2689414322376251,0.0002419351076241,0.268699497130001
HMGN2,0.2689414322376251,0.2689414322376251,0.0
