Gene,IG Score Before Training,IG Score After Training
C3orf24,-1.0,-1.0
C3orf27,-1.0,-1.0
C3orf30,-1.0,-1.0
C3orf31,-1.0,-1.0
C3orf34,-1.0,-1.0
C3orf35,-1.0,-1.0
C3orf43,-1.0,-1.0
C3orf47,-1.0,-1.0
C3orf48,-1.0,-1.0
C3orf50,-1.0,-1.0
C3orf54,-1.0,-1.0
C3orf62,-1.0,-1.0
C3orf65,-1.0,-1.0
C3orf67,-1.0,-1.0
C3orf72,-1.0,-1.0
C3orf74,-1.0,-1.0
C3orf77,-1.0,-1.0
C4orf11,-1.0,-1.0
C4orf17,-1.0,-1.0
C4orf21,-1.0,-1.0
C4orf26,-1.0,-1.0
C4orf46,-1.0,-1.0
C4orf47,-1.0,-1.0
C4orf50,-1.0,-1.0
C4orf51,-1.0,-1.0
C4orf6,-1.0,-1.0
C5orf20,-1.0,-1.0
C5orf34,-1.0,-1.0
C5orf39,-1.0,-1.0
C5orf46,-1.0,-1.0
C5orf47,-1.0,-1.0
C5orf54,-1.0,-1.0
C5orf58,-1.0,-1.0
C5orf60,-1.0,-1.0
C6orf10,-1.0,-1.0
C6orf126,-1.0,-1.0
C6orf127,-1.0,-1.0
C6orf147,-1.0,-1.0
C6orf15,-1.0,-1.0
C6orf150,-1.0,-1.0
C6orf154,-1.0,-1.0
C6orf163,-1.0,-1.0
C6orf164,-1.0,-1.0
C6orf167,-1.0,-1.0
C6orf170,-1.0,-1.0
C6orf182,-1.0,-1.0
C6orf195,-1.0,-1.0
C6orf218,-1.0,-1.0
C6orf221,-1.0,-1.0
C6orf222,-1.0,-1.0
C6orf223,-1.0,-1.0
C6orf227,-1.0,-1.0
C6orf26,-1.0,-1.0
C6orf41,-1.0,-1.0
C6orf52,-1.0,-1.0
C6orf81,-1.0,-1.0
C7orf13,-1.0,-1.0
C7orf33,-1.0,-1.0
C7orf4,-1.0,-1.0
C7orf52,-1.0,-1.0
C7orf53,-1.0,-1.0
C7orf54,-1.0,-1.0
C7orf57,-1.0,-1.0
C7orf61,-1.0,-1.0
C7orf65,-1.0,-1.0
C7orf68,-1.0,-1.0
C7orf69,-1.0,-1.0
C7orf71,-1.0,-1.0
C7orf72,-1.0,-1.0
C8orf31,-1.0,-1.0
C8orf38,-1.0,-1.0
C8orf39,-1.0,-1.0
C8orf44,-1.0,-1.0
C8orf45,-1.0,-1.0
C8orf51,-1.0,-1.0
C8orf71,-1.0,-1.0
C8orf73,-1.0,-1.0
C8orf74,-1.0,-1.0
C8orf75,-1.0,-1.0
C8orf77,-1.0,-1.0
C8ORFK29,-1.0,-1.0
C9orf100,-1.0,-1.0
C9orf109,-1.0,-1.0
C9orf110,-1.0,-1.0
C9orf116,-1.0,-1.0
C9orf117,-1.0,-1.0
C9orf139,-1.0,-1.0
C9orf140,-1.0,-1.0
C9orf153,-1.0,-1.0
C9orf163,-1.0,-1.0
C9orf169,-1.0,-1.0
C9orf170,-1.0,-1.0
C9orf171,-1.0,-1.0
C9orf172,-1.0,-1.0
C9orf173,-1.0,-1.0
C9orf40,-1.0,-1.0
C9orf43,-1.0,-1.0
C9orf44,-1.0,-1.0
C9orf50,-1.0,-1.0
C9orf53,-1.0,-1.0
C9orf57,-1.0,-1.0
C9orf79,-1.0,-1.0
C9orf85,-1.0,-1.0
CABP7,-1.0,-1.0
CABYR,-1.0,-1.0
CACNA1B,-1.0,-1.0
CACNA1E,-1.0,-1.0
CACNA1F,-1.0,-1.0
CACNA1I,-1.0,-1.0
CACNB1,-1.0,-1.0
CACNG1,-1.0,-1.0
CACNG2,-1.0,-1.0
CACNG4,-1.0,-1.0
CACNG5,-1.0,-1.0
CACNG7,-1.0,-1.0
CACNG8,-1.0,-1.0
CAGE1,-1.0,-1.0
CALCB,-1.0,-1.0
CALHM1,-1.0,-1.0
CALHM3,-1.0,-1.0
CALML6,-1.0,-1.0
CALR3,-1.0,-1.0
CAMK2N2,-1.0,-1.0
CAMKV,-1.0,-1.0
CAPN12,-1.0,-1.0
CARD14,-1.0,-1.0
CARD17,-1.0,-1.0
CARD18,-1.0,-1.0
CARD9,-1.0,-1.0
CASC5,-1.0,-1.0
CASKIN1,-1.0,-1.0
CASP14,-1.0,-1.0
CASP5,-1.0,-1.0
CATSPER1,-1.0,-1.0
CATSPER2,-1.0,-1.0
CATSPER2P1,-1.0,-1.0
CATSPER3,-1.0,-1.0
CATSPER4,-1.0,-1.0
CATSPERB,-1.0,-1.0
CBWD6,-1.0,-1.0
CBX2,-1.0,-1.0
CBX8,-1.0,-1.0
CCDC103,-1.0,-1.0
CCDC109B,-1.0,-1.0
CCDC113,-1.0,-1.0
CCDC114,-1.0,-1.0
CCDC134,-1.0,-1.0
CCDC136,-1.0,-1.0
CCDC138,-1.0,-1.0
CCDC140,-1.0,-1.0
CCDC142,-1.0,-1.0
CCDC144C,-1.0,-1.0
CCDC144NL,-1.0,-1.0
CCDC15,-1.0,-1.0
CCDC150,-1.0,-1.0
CCDC151,-1.0,-1.0
CCDC154,-1.0,-1.0
CCDC155,-1.0,-1.0
CCDC157,-1.0,-1.0
CCDC163P,-1.0,-1.0
CCDC18,-1.0,-1.0
CCDC19,-1.0,-1.0
CCDC24,-1.0,-1.0
CCDC33,-1.0,-1.0
CCDC40,-1.0,-1.0
CCDC41,-1.0,-1.0
CCDC42,-1.0,-1.0
CCDC58,-1.0,-1.0
CCDC62,-1.0,-1.0
CCDC63,-1.0,-1.0
CCDC74B,-1.0,-1.0
CCDC77,-1.0,-1.0
CCDC78,-1.0,-1.0
CCDC79,-1.0,-1.0
CCDC83,-1.0,-1.0
CCDC84,-1.0,-1.0
CCDC87,-1.0,-1.0
CCDC99,-1.0,-1.0
CCL1,-1.0,-1.0
CCL18,-1.0,-1.0
CCL25,-1.0,-1.0
CCL26,-1.0,-1.0
CCL27,-1.0,-1.0
CCL7,-1.0,-1.0
CCNA1,-1.0,-1.0
CCNA2,-1.0,-1.0
CCNB2,-1.0,-1.0
CCNB3,-1.0,-1.0
CCNE1,-1.0,-1.0
CCNE2,-1.0,-1.0
CCNF,-1.0,-1.0
CCNI2,-1.0,-1.0
CCNJ,-1.0,-1.0
CCR3,-1.0,-1.0
CCR5,-1.0,-1.0
CCR8,-1.0,-1.0
CCT6P1,-1.0,-1.0
CCT8L2,-1.0,-1.0
CD180,-1.0,-1.0
CD1A,-1.0,-1.0
CD200R1L,-1.0,-1.0
CD300C,-1.0,-1.0
CD300LD,-1.0,-1.0
CD300LF,-1.0,-1.0
CD7,-1.0,-1.0
CD70,-1.0,-1.0
CD72,-1.0,-1.0
CD80,-1.0,-1.0
CDC20,-1.0,-1.0
CDC20B,-1.0,-1.0
CDC25A,-1.0,-1.0
CDC25C,-1.0,-1.0
CDC45,-1.0,-1.0
CDC6,-1.0,-1.0
CDC7,-1.0,-1.0
CDCA2,-1.0,-1.0
CDCA3,-1.0,-1.0
CDCA5,-1.0,-1.0
CDCA7,-1.0,-1.0
CDCA8,-1.0,-1.0
CDH15,-1.0,-1.0
CDH18,-1.0,-1.0
CDH24,-1.0,-1.0
CDH7,-1.0,-1.0
CDH8,-1.0,-1.0
CDK1,-1.0,-1.0
CDK3,-1.0,-1.0
CDK5R1,-1.0,-1.0
CDK5R2,-1.0,-1.0
CDKL4,-1.0,-1.0
CDKN2BAS,-1.0,-1.0
CDKN3,-1.0,-1.0
CDRT1,-1.0,-1.0
CDRT15,-1.0,-1.0
CDRT15P,-1.0,-1.0
CDSN,-1.0,-1.0
CDT1,-1.0,-1.0
CEACAM18,-1.0,-1.0
CEACAM19,-1.0,-1.0
CEBPE,-1.0,-1.0
CECR6,-1.0,-1.0
CEL,-1.0,-1.0
CELP,-1.0,-1.0
CELSR3,-1.0,-1.0
CEND1,-1.0,-1.0
CENPA,-1.0,-1.0
CENPE,-1.0,-1.0
CENPH,-1.0,-1.0
CENPI,-1.0,-1.0
CENPJ,-1.0,-1.0
CENPK,-1.0,-1.0
CENPL,-1.0,-1.0
CENPO,-1.0,-1.0
CENPQ,-1.0,-1.0
CEP135,-1.0,-1.0
CEP152,-1.0,-1.0
CEP170L,-1.0,-1.0
CEP55,-1.0,-1.0
CEP72,-1.0,-1.0
CEP76,-1.0,-1.0
CER1,-1.0,-1.0
CETN1,-1.0,-1.0
CFLP1,-1.0,-1.0
CG030,-1.0,-1.0
CGB,-1.0,-1.0
CGB1,-1.0,-1.0
CGB2,-1.0,-1.0
CGB5,-1.0,-1.0
CGB7,-1.0,-1.0
CGB8,-1.0,-1.0
CGREF1,-1.0,-1.0
CHAC1,-1.0,-1.0
CHAC2,-1.0,-1.0
CHAF1B,-1.0,-1.0
CHAT,-1.0,-1.0
CHEK1,-1.0,-1.0
CHEK2,-1.0,-1.0
CHIT1,-1.0,-1.0
CHRNA1,-1.0,-1.0
CHRNA10,-1.0,-1.0
CHRNA3,-1.0,-1.0
CHRNA5,-1.0,-1.0
CHRNA6,-1.0,-1.0
CHRNA9,-1.0,-1.0
CHRNB2,-1.0,-1.0
CHRNB4,-1.0,-1.0
CHRND,-1.0,-1.0
CHRNG,-1.0,-1.0
CHST1,-1.0,-1.0
CHST13,-1.0,-1.0
CHST6,-1.0,-1.0
CHTF18,-1.0,-1.0
CIB2,-1.0,-1.0
CIB3,-1.0,-1.0
CIDECP,-1.0,-1.0
CILP2,-1.0,-1.0
CITED1,-1.0,-1.0
CKAP2L,-1.0,-1.0
CLCN2,-1.0,-1.0
CLDN22,-1.0,-1.0
CLDN25,-1.0,-1.0
CLDN6,-1.0,-1.0
CLDN9,-1.0,-1.0
CLEC12B,-1.0,-1.0
CLEC18A,-1.0,-1.0
CLEC18B,-1.0,-1.0
CLEC18C,-1.0,-1.0
CLEC2A,-1.0,-1.0
CLEC4A,-1.0,-1.0
CLEC4D,-1.0,-1.0
CLEC5A,-1.0,-1.0
CLEC6A,-1.0,-1.0
CLECL1,-1.0,-1.0
CLK2P,-1.0,-1.0
CLLU1OS,-1.0,-1.0
CLSPN,-1.0,-1.0
CLVS1,-1.0,-1.0
CMTM1,-1.0,-1.0
CN5H6.4,-1.0,-1.0
CNBD1,-1.0,-1.0
CNGA2,-1.0,-1.0
CNGB3,-1.0,-1.0
CNIH2,-1.0,-1.0
CNPY1,-1.0,-1.0
CNTD1,-1.0,-1.0
CNTD2,-1.0,-1.0
CNTF,-1.0,-1.0
CNTNAP4,-1.0,-1.0
CNTNAP5,-1.0,-1.0
COCH,-1.0,-1.0
COL10A1,-1.0,-1.0
COL11A2,-1.0,-1.0
COL20A1,-1.0,-1.0
COL22A1,-1.0,-1.0
COL24A1,-1.0,-1.0
COL2A1,-1.0,-1.0
COL6A4P2,-1.0,-1.0
COL9A1,-1.0,-1.0
COMP,-1.0,-1.0
COQ3,-1.0,-1.0
COX6B2,-1.0,-1.0
COX7B2,-1.0,-1.0
COX8C,-1.0,-1.0
CPA4,-1.0,-1.0
CPA5,-1.0,-1.0
CPA6,-1.0,-1.0
CPLX2,-1.0,-1.0
CPLX4,-1.0,-1.0
CPNE7,-1.0,-1.0
CPNE9,-1.0,-1.0
CPSF4L,-1.0,-1.0
CPT1C,-1.0,-1.0
CPXCR1,-1.0,-1.0
CPXM1,-1.0,-1.0
CR1L,-1.0,-1.0
CREG2,-1.0,-1.0
CRISPLD1,-1.0,-1.0
CRLF2,-1.0,-1.0
CROCCL2,-1.0,-1.0
CRYBA1,-1.0,-1.0
CRYBA2,-1.0,-1.0
CRYBA4,-1.0,-1.0
CRYBB1,-1.0,-1.0
CRYBB2,-1.0,-1.0
CRYGA,-1.0,-1.0
CRYGB,-1.0,-1.0
CRYGC,-1.0,-1.0
CRYGS,-1.0,-1.0
CSAG1,-1.0,-1.0
CSAG2,-1.0,-1.0
CSAG3,-1.0,-1.0
CSDAP1,-1.0,-1.0
CSF2,-1.0,-1.0
CSH1,-1.0,-1.0
CSH2,-1.0,-1.0
CSMD2,-1.0,-1.0
CSRP3,-1.0,-1.0
CST1,-1.0,-1.0
CST2,-1.0,-1.0
CST4,-1.0,-1.0
CST9L,-1.0,-1.0
CSTL1,-1.0,-1.0
CT45A1,-1.0,-1.0
CT45A2,-1.0,-1.0
CT45A3,-1.0,-1.0
