Gene,IG Score Before Training,IG Score After Training,Difference,rank
KRTAP5-9,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-10,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-11,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT80,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT7,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT86,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTCAP3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-1,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-2,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-3,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-4,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-5,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-6,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA4,0.2689414322376251,0.2689414322376251,0.0,130.0
TP53,0.2689414322376251,0.2689414322376251,0.0,130.0
KRTAP5-8,0.2689414322376251,0.2689414322376251,0.0,130.0
XAGE1A,0.2689414322376251,0.2689414322376251,0.0,130.0
XAGE1B,0.2689414322376251,0.2689414322376251,0.0,130.0
XAGE5,0.2689414322376251,0.2689414322376251,0.0,130.0
XAGE3,0.2689414322376251,0.2689414322376251,0.0,130.0
LAGE3,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF12,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF1,0.2689414322376251,0.2689414322376251,0.0,130.0
PRAMEF11,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEE1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEC3,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEC1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEC2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA9B,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA11,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA9,0.2689414322376251,0.2689414322376251,0.0,130.0
BRCA2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB16,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGED4B,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGED4,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEH1,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEE2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB18,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB6B,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB6,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB5,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB10,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB2,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB3,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEB4,0.2689414322376251,0.2689414322376251,0.0,130.0
MC1R,0.2689414322376251,0.2689414322376251,0.0,130.0
MAGEA8,0.2689414322376251,0.2689414322376251,0.0,130.0
KRT17,0.2689414322376251,0.2675643563270569,-0.0013770759105682373,257.0
KRT5,0.2689414322376251,0.26635444164276123,-0.0025869905948638916,258.0
PMEL,0.2689414322376251,0.2595484256744385,-0.009393006563186646,259.0
MAGED2,0.2689414322376251,0.2588324248790741,-0.010109007358551025,260.0
KRTCAP2,0.2689414322376251,0.2588292360305786,-0.010112196207046509,261.0
EPCAM,0.2689414322376251,0.2579761743545532,-0.0109652578830719,262.0
MLANA,0.2689414322376251,0.2573627233505249,-0.01157870888710022,263.0
KRT19,0.2689414322376251,0.25068920850753784,-0.01825222373008728,264.0
SOX2,0.2689414322376251,0.24332968890666962,-0.025611743330955505,265.0
KRT8,0.2689414322376251,0.23985038697719574,-0.029091045260429382,266.0
KRT15,0.2689414322376251,0.23951232433319092,-0.029429107904434204,267.0
KRT6A,0.2689414322376251,0.23874865472316742,-0.030192777514457703,268.0
