Gene,IG Score After Training
TFB2M,0.00024229311384260654
ZNF670-ZNF695,0.2689414322376251
ZNF670,0.00024206293164752424
OR2L13,0.00024161972396541387
DDX11L1,0.2689414322376251
WASH7P,0.2689414322376251
MIR6859-1,0.2689414322376251
MIR6859-2,0.2689414322376251
MIR6859-3,0.2689414322376251
MIR6859-4,0.2689414322376251
MIR1302-2,0.2689414322376251
MIR1302-9,0.2689414322376251
MIR1302-10,0.2689414322376251
MIR1302-11,0.2689414322376251
FAM138C,0.2689414322376251
FAM138F,0.2689414322376251
FAM138A,0.2689414322376251
OR4F5,0.2689414322376251
LOC729737,0.2689414322376251
FAM138D,0.2689414322376251
LOC100132287,0.2689414322376251
LOC100132062,0.2689414322376251
OR4F16,0.2689414322376251
OR4F3,0.2689414322376251
OR4F29,0.2689414322376251
LOC101928626,0.2689414322376251
MIR6723,0.2689414322376251
LOC100133331,0.2689414322376251
LOC100288069,0.2689414322376251
LINC00115,0.2689414322376251
LINC01128,0.2689414322376251
FAM41C,0.2689414322376251
FAM87B,0.2689414322376251
SAMD11,0.00024205254158005118
PERM1,0.00024249625857919455
HES4,0.00023829824931453913
ISG15,0.00023273563419934362
KLHL17,0.00024246019893325865
NOC2L,0.00023806592798791826
PLEKHN1,0.00024214254517573863
RNF223,0.00024223723448812962
LINC01342,0.2689414322376251
MIR200B,0.2689414322376251
MIR200A,0.2689414322376251
MIR429,0.2689414322376251
C1orf159,0.00024180224863812327
SDF4,0.00023880205117166042
MIR6726,0.2689414322376251
TNFRSF18,0.00023724407947156578
B3GALT6,0.000240633002249524
SCNN1D,0.00024348925217054784
UBE2J2,0.00024083201424218714
ACAP3,0.00023468943254556507
TNFRSF4,0.0002431524044368416
FAM132A,0.2689414322376251
CPSF3L,0.2689414322376251
MIR6727,0.2689414322376251
CPTP,0.00024085106269922107
TAS1R3,0.00024213310098275542
MIR6808,0.2689414322376251
MXRA8,0.00024230050621554255
AURKAIP1,0.00022849513334222138
CCNL2,3.0498273190460168e-05
LOC148413,0.2689414322376251
MRPL20,0.2689414322376251
ANKRD65,0.00023809022968634963
TMEM88B,0.00029205839382484555
LOC102724312,0.2689414322376251
DVL1,0.0002805828407872468
ATAD3C,0.00024125855998136103
ATAD3B,0.00024025932361837476
ATAD3A,0.0002404834667686373
TMEM240,0.0002404334954917431
SLC35E2B,0.2689414322376251
FNDC10,0.00024267852131742984
MIB2,0.00023349288676399738
MMP23A,0.2689414322376251
MMP23B,0.00024169300741050392
CDK11B,0.00024352152831852436
NADK,0.00023837255139369518
SLC35E2,0.2689414322376251
TMEM52,0.0002411658933851868
CALML6,0.00024222915817517787
GABRD,0.00024308077991008759
LOC105378591,0.2689414322376251
FAAP20,0.00025807408383116126
SKI,0.00023368175607174635
LOC100129534,0.2689414322376251
RER1,0.00023522169794887304
PEX10,0.00024254551681224257
PANK4,0.00023928750306367874
HES5,0.00024170060351025313
LOC115110,0.2689414322376251
TNFRSF14,0.0003034764085896313
LOC100996583,0.2689414322376251
FAM213B,0.2689414322376251
LINC00982,0.2689414322376251
MIR4251,0.2689414322376251
ACTRT2,0.00024310463049914688
ARHGEF16,0.00024109806690830737
MIR551A,0.2689414322376251
WRAP73,0.00023752928245812654
TPRG1L,0.00023745227372273803
TP73-AS1,0.2689414322376251
CCDC27,0.00024152851256076247
SMIM1,0.00024325025151483715
LRRC47,0.00023811179562471807
CEP104,0.0002379540674155578
DFFB,0.00024130295787472278
C1orf174,0.0002459475363139063
LINC01134,0.2689414322376251
LINC01346,0.2689414322376251
LOC284661,0.2689414322376251
MIR4417,0.2689414322376251
MIR4689,0.2689414322376251
RPL22,0.2689414322376251
LOC102724450,0.2689414322376251
RNF207,0.00024170844699256122
LINC00337,0.2689414322376251
HES3,0.2689414322376251
GPR153,0.0002420211530989036
ICMT,0.0002366729313507676
