Gene,IG Score Before Training,IG Score After Training,Difference
ADAR,0.55659086,0.55666673,7.587671e-05
GPAT4,0.23552725,0.23560292,7.56681e-05
TRAM2,0.26230952,0.26238474,7.522106e-05
NMRK2,0.2700267,0.27010188,7.516146e-05
ERCC6,0.25526556,0.25534052,7.495284e-05
PPIB,0.32219043,0.3222654,7.495284e-05
MYLIP,0.13459876,0.1346734,7.463992e-05
MYC,0.06614626,0.06622087,7.4610114e-05
PRCD,0.27044937,0.27052394,7.456541e-05
CHST11,0.26721993,0.26729366,7.3730946e-05
SMG8,0.26461414,0.26468763,7.349253e-05
IRF4,0.26998758,0.27006066,7.3075294e-05
ZNF83,0.25278145,0.25285423,7.277727e-05
IRF1,0.22878827,0.22886048,7.221103e-05
C16orf72,0.19584994,0.19592209,7.215142e-05
TIAL1,0.22355431,0.22362642,7.210672e-05
GSG1L,0.26945332,0.26952526,7.1942806e-05
TBC1D14,0.25367084,0.25374225,7.1406364e-05
GPR143,0.2714871,0.27155825,7.1167946e-05
PKNOX2,0.26259962,0.26267067,7.104874e-05
FBXO9,0.22586302,0.22593394,7.0914626e-05
C1R,0.41282275,0.4128935,7.075071e-05
STT3A,0.19473805,0.19480836,7.031858e-05
TMCC2,0.26212716,0.2621972,7.003546e-05
SLC38A1,0.15979128,0.15985955,6.827712e-05
IFI35,0.26578265,0.26585087,6.8217516e-05
NDUFB10,0.19312714,0.1931952,6.80536e-05
CPT1A,0.27571732,0.27578488,6.7561865e-05
ICAM1,0.254078,0.25414452,6.651878e-05
GPRC5B,0.2734266,0.27349302,6.642938e-05
MMP17,0.2708279,0.27089414,6.625056e-05
SPTSSA,0.19414225,0.19420832,6.607175e-05
GUCD1,0.21133108,0.21139695,6.586313e-05
PGRMC2,0.22052836,0.22059397,6.560981e-05
EIF3H,0.1907316,0.19079714,6.553531e-05
RUFY3,0.20895344,0.20901866,6.522238e-05
CPPED1,0.28201535,0.2820805,6.514788e-05
FH,0.21456203,0.2146268,6.477535e-05
CEP44,0.2591036,0.25916794,6.4343214e-05
RNF169,0.24007943,0.24014346,6.403029e-05
PPP2R2A,0.24382041,0.24388435,6.394088e-05
NSA2,0.23224661,0.2323105,6.389618e-05
TM9SF3,0.20633167,0.20639549,6.382167e-05
SAT1,0.06995707,0.070020854,6.378442e-05
BCAP31,0.26187903,0.26194274,6.3717365e-05
POSTN,0.29091507,0.29097876,6.368756e-05
SIDT2,0.26721293,0.26727656,6.362796e-05
MAF1,0.18548608,0.18554953,6.3449144e-05
STAT3,0.17155404,0.171617,6.2957406e-05
SLC3A2,0.14725819,0.14732113,6.2942505e-05
BTN3A1,0.2702284,0.27029112,6.273389e-05
SOCS7,0.25027603,0.2503385,6.246567e-05
CFB,0.45216975,0.45223185,6.210804e-05
GTF2F2,0.24919362,0.24925573,6.210804e-05
ASAH1,0.23630595,0.23636758,6.16312e-05
DCT,0.2601137,0.26017532,6.16312e-05
RAB5C,0.24599908,0.24606067,6.15865e-05
UQCRH,0.2245267,0.22458778,6.107986e-05
CMTM3,0.2666731,0.26673415,6.106496e-05
TPMT,0.2434048,0.24346548,6.067753e-05
HSPH1,0.15928547,0.1593458,6.03348e-05
CCL5,0.28039724,0.28045756,6.03199e-05
SSR4,0.2150308,0.21509099,6.018579e-05
PTPRA,0.23894171,0.23900148,5.9768558e-05
LAMC1,0.19432825,0.19438739,5.914271e-05
TM9SF2,0.16255273,0.16261175,5.90235e-05
TTYH2,0.27057558,0.27063376,5.8174133e-05
YIPF6,0.2374746,0.23753217,5.7563186e-05
POGZ,0.2265111,0.22656856,5.7458878e-05
STX7,0.22947942,0.22953665,5.723536e-05
VMP1,0.18717128,0.18722811,5.683303e-05
USP19,0.2512625,0.25131863,5.6147575e-05
CLTA,0.24988306,0.24993823,5.5179e-05
LAPTM5,0.26453406,0.2645889,5.4836273e-05
