Gene,IG Score Before Training,IG Score After Training,Difference
TAF6L,0.26185578,0.26185584,5.9604645e-08
PAN3,0.24534734,0.2453474,5.9604645e-08
THEM6,0.25256565,0.2525657,5.9604645e-08
PRUNE1,0.28215727,0.28215733,5.9604645e-08
RHBDF2,0.2664444,0.26644447,5.9604645e-08
APOE,0.96801883,0.9680189,5.9604645e-08
GON4L,0.26090708,0.26090714,5.9604645e-08
ASH1L,0.17005894,0.170059,5.9604645e-08
CCDC88B,0.24980852,0.24980858,5.9604645e-08
NTAN1,0.24880452,0.24880458,5.9604645e-08
FBLN2,0.27596906,0.27596912,5.9604645e-08
CHMP7,0.26105532,0.26105538,5.9604645e-08
SIPA1L3,0.25138515,0.2513852,5.9604645e-08
SNN,0.27299407,0.27299413,5.9604645e-08
NR1H3,0.2567837,0.25678375,5.9604645e-08
LYPLA1,0.27133718,0.27133724,5.9604645e-08
ITPRIPL2,0.2545105,0.25451055,5.9604645e-08
ATP13A2,0.2575664,0.25756645,5.9604645e-08
CEP95,0.2464723,0.24647236,5.9604645e-08
BIN3,0.25897622,0.25897628,5.9604645e-08
MT2A,0.019771867,0.019771926,5.9604645e-08
ENPP4,0.23810022,0.23810028,5.9604645e-08
MT1G,0.26247814,0.2624782,5.9604645e-08
INHBA,0.27886182,0.27886188,5.9604645e-08
POLD2,0.22878247,0.22878253,5.9604645e-08
ILKAP,0.25690767,0.25690773,5.9604645e-08
PTGES2,0.17704551,0.17704557,5.9604645e-08
NUP153,0.23178226,0.23178232,5.9604645e-08
PIGC,0.25697473,0.2569748,5.9604645e-08
CELF1,0.23334637,0.23334643,5.9604645e-08
AIF1L,0.27826363,0.2782637,5.9604645e-08
SOGA1,0.24862154,0.2486216,5.9604645e-08
PPP4C,0.19827998,0.19828004,5.9604645e-08
PDLIM7,0.2484384,0.24843846,5.9604645e-08
LAMB3,0.2646593,0.26465935,5.9604645e-08
PYCR2,0.25144067,0.25144073,5.9604645e-08
KIAA1191,0.2592977,0.25929776,5.9604645e-08
BCKDK,0.25592914,0.2559292,5.9604645e-08
H1F0,0.09996042,0.099960476,5.9604645e-08
HMGB3,0.26055077,0.26055083,5.9604645e-08
GPSM1,0.25810134,0.2581014,5.9604645e-08
LMAN1,0.25661466,0.2566147,5.9604645e-08
MECP2,0.25643745,0.2564375,5.9604645e-08
PEX16,0.2586272,0.25862727,5.9604645e-08
TMEM201,0.26266938,0.26266944,5.9604645e-08
LYRM1,0.23304765,0.23304771,5.9604645e-08
CLK4,0.2554028,0.25540286,5.9604645e-08
NDUFB5,0.16513506,0.16513512,5.9604645e-08
MAML1,0.24599908,0.24599914,5.9604645e-08
RITA1,0.24996132,0.24996138,5.9604645e-08
HEIH,0.27045178,0.27045184,5.9604645e-08
DUSP23,0.2594621,0.25946215,5.9604645e-08
LYPLA2,0.27044722,0.27044728,5.9604645e-08
SUPT7L,0.24652423,0.24652429,5.9604645e-08
PPM1G,0.24049522,0.24049528,5.9604645e-08
OCRL,0.24412899,0.24412905,5.9604645e-08
NRSN2,0.22804534,0.2280454,5.9604645e-08
MSMO1,0.23033881,0.23033887,5.9604645e-08
MPHOSPH8,0.245753,0.24575306,5.9604645e-08
VPS8,0.25660104,0.2566011,5.9604645e-08
GFOD1,0.25924733,0.2592474,5.9604645e-08
MAP4K3,0.24233958,0.24233964,5.9604645e-08
SYT11,0.25007054,0.2500706,5.9604645e-08
MSH2,0.2402733,0.24027336,5.9604645e-08
SLBP,0.2481267,0.24812676,5.9604645e-08
MAN2B2,0.2604689,0.26046896,5.9604645e-08
THBS3,0.25194952,0.25194958,5.9604645e-08
RNF168,0.36890826,0.36890832,5.9604645e-08
ADI1,0.18775086,0.18775092,5.9604645e-08
SENP5,0.25267872,0.25267878,5.9604645e-08
MAP9,0.25879794,0.258798,5.9604645e-08
TUBGCP2,0.23806444,0.2380645,5.9604645e-08
ATXN3,0.23632896,0.23632902,5.9604645e-08
ZNF580,0.24905539,0.24905545,5.9604645e-08
VWF,0.2773626,0.27736267,5.9604645e-08
