Gene,SPACER Score Before Training,SPACER Score After Training,Difference
SLC5A1,-1.0,1.7859035730361938,2.785903573036194
TBRG1,-1.0,1.7831989526748657,2.7831989526748657
EPS8L1,-1.0,1.7806282043457031,2.780628204345703
PPL,-1.0,1.7791862487792969,2.779186248779297
PLBD1,-1.0,1.7777200937271118,2.777720093727112
BMP7,-1.0,1.7750084400177002,2.7750084400177
ITGA3,-1.0,1.7748942375183105,2.7748942375183105
PTCD3,-1.0,1.7738126516342163,2.7738126516342163
FERMT1,-1.0,1.7724031209945679,2.772403120994568
PSMD10,-1.0,1.7691932916641235,2.7691932916641235
TMEM97,-1.0,1.7677292823791504,2.7677292823791504
KRT8,-1.0,1.7671616077423096,2.7671616077423096
TAF15,-1.0,1.767028570175171,2.767028570175171
ZFC3H1,-1.0,1.7666881084442139,2.766688108444214
ATAD1,-1.0,1.76552414894104,2.76552414894104
ZNF562,-1.0,1.7653285264968872,2.765328526496887
EPHB4,-1.0,1.758589744567871,2.758589744567871
CYB5R1,-1.0,1.7581982612609863,2.7581982612609863
PARVA,-1.0,1.7573328018188477,2.7573328018188477
MAGT1,-1.0,1.7559995651245117,2.7559995651245117
ST6GALNAC5,-1.0,1.7542530298233032,2.7542530298233032
CS,-1.0,1.7536258697509766,2.7536258697509766
DDX11,-1.0,1.7504595518112183,2.7504595518112183
MET,-1.0,1.7481465339660645,2.7481465339660645
PPP1R14D,-1.0,1.7474104166030884,2.7474104166030884
